previous utterance by the teller	drawer's utterance	next utterance by the teller	is CR?	impossible to know?
a big balloon on center . the basket is on grass .	on the horizon or closer in ?	only basket is on grass .	1	
make the tree smaller and move the people and fireplace up some and it 's good	awesome great directions thanks	thanks good job	0	
upper left corner there is a cloud	is it lag are med	it is either large or medium size all visible	1	
there is a plane flying on the right side . a cat is on a slide in the lower right corner . a little boy is playing in front of the sandbox .	what is the little boy doing exactly ?	he is holding a juice box	1	
yes . the frisbee needs to be switched and the sun med sized and that 's all	all done thanks		0	
boy indian style , move to the right , left hand has burger right hand soda small	which face ?	left	1	
	hi , can you please explain the image to me ?	two fingers from left side top is a small sun and right side is a medium plane facing right	0	
rocket dead center , girl is far right , and make her small , cloud far right , move balloon a little right	miss read that long day ! ! ok	so you did it	0	
middle of the grass one large don facing right side , and middle of the sky one medium size frisbee	don ? mustard ?	yellow color bottle , in front of dog one girl smiling facing left side hands in air wearing blue cap her head above horizon line	0	
flip everything . sun , grill , and girl are on the right side of the frame . the boy is on the left side of the frame .	girl is looking left now ?	also , it 's the girl with arms out in front not above her head . yes , girl looking left	1	
black glasses . between mike and right border , a duck faces left , behind duck a soccer ball .	what size are they ? boy , girl , duck they all face left ?	, move tree to right a bit . move girl up . duck and ball are medium size . thanks .	1	
a tree in middle to back	pointed pine or the other ?	other boy to right of tree to front	1	
ok ready	please share details a few at a time	apple tree big on left midway of grass on left	0	
owl in tree on front big	so owl is in center of tree ?	no girl on the right of tree standing right arm up hat with horns dog on the right front of her	1	
	gim me the pic	two clouds top of scene center . one on left is rain cloud . one on right is no rain .	0	
hi . bear 1 cm up from bottom , his right hand is mostly cut off . large sun top left corner , top and left are cut off	hi is the bear on the right ?	bear is right below the sun . angry boy is right in front of the bear , his foot almost touches the bottom . he 's kicking a tennis ball	1	
mad boy to the right of screen	right next to edge , ears on horizon line ?	middle of body is in the blue	1	
the girl with blonde hair is on the left and the guy with dark short hair is really close to the right corner	can you tell me the hand position and facial expression on the girl please ?	her leg is kicking the soccer ball and her hands are out with her arms bent . her mouth is open and she 's smiling laughing	1	
---	is he happy ?	---	1	
big apple tree on left , trunk midway grass , and hide right and top . only seen five apples .	is the tree covering the sun and sandbox ?	sorry , tree is on right . surprised mike running to right , and holding a cup on left hand . hair is at horizon .	1	
yes , both are smiling . the girl is wearing sunglasses and holding a soda .	soda in which hand	the one in front of her . there is a tennis ball beneath the boy 's outstretched arm , under his hand .	1	
flip and make slide smaller	flip slide	slide should face right	0	
on left is large bear hand off right edge faces right upper right corner is large sun rays cut off on top and sides .	bear standing under sun ?	sorry , bear on left , sun on right . lower right corner is large sandbox in box girl sits hand behind her faces left	1	
sorry , right side of the table corner is touching boy 's short	ok is that all i need to fix ?	perfect , just move the girl little down , that 's it , thanks	0	
boy on left sitting holding hot dog with legs crossed	is the fire in the green or blue part of screen ?	on grass girl up running towards boy snake behind her both sizes medium	1	
a bushy tree on left hole facing the right top off mike on left jenny beside him him holding hot dog in right hand smiling	where is mike and what position is he in ?	jenny smiling burger in mike right hand hot dog in jenny left hand he shocked i will look grill on right in corner	1	
soccer beach ball down front on left	both a soccer and a beach ball ?	snake facing left down front	1	
pine tree , sun , dog , soccer ball , brown boy in blue and blonde girl in pink	where are they located	working left to right pine tree is rather large , tip off the top of page , trunk lands about 2 3 way down	1	
frightened	is she sall med or large ? which direction is she facing ?	large i guess , facing left	1	
left side girl covers part of tent . sitting one arm up , one down looking right . boy is cross legged	none of this fits	may need to adjust size	0	
it was my fault i apologize	it 's a weird scene , haha	but everything else is good	0	
ready ?	yes , what is in the scene ?	there is a girl at the bottom right of the screen looking sad with one leg in air . her hips are right at the edge of screen at bottom .	0	
that should be it , any questions ?	well , i assume boy is looking right , and girl is looking left , her ears on horizon ?	yeah , the boy is looking right , the girl is looking left kind of downward . the girls shoulders are a bit above the horizon line	1	
yes cut cloud off at top . a medium apple tree is on your left hand side with 6 apples visible a covering cloud left end .	ok ca n't get the cloud to cover it but it 's okay	medium bushy tree cut at top and side on your right hand side with hole facing left .	0	
boy has bent legs and girl has burger on her right hand and soda on her left hand	so , since the soda is in the hand that is her left , it is the hand closest to the edge ?	yes and that 's it	1	
not big and the boy is on the right	what are the legs and arms and faces of the kids like ?	legs are bent arms are stretched out to each other and smiling faces	1	
tree is medium . angry girl standing in middle facing left . large bee toy on right .	what pose is the angry girl doing ?	boy is facing right . angry girl has her hands up	1	
sad boy , running pose standing in left third of grass , not quite half way from the bottom . his head is above the horizon	is there any other person ?	no . he should face right . pizza on ground in front of boy , about level with his knee	0	
ball in right hand . boy 2 inches away from girl facing her . medium grill on right	what is the boy doing ? is he smiling or frowning ?		1	
above his head is a helicopter , middle of the sky scene , facing right ,	small boy is really small	well looks very small , hair horizon line , legs 2 fingers from the bottom edge	0	
smallest bushy tree and up more , flip dude , biggest pine , move girl little right , cat up a little , we good	changes made , ready to submit , thanks !	good	0	
large slide . right side . right side cut off . facing left . horizon line just below the second step from top	done ]	boy and girl . girl shocked . boy shocked and running place them in front of the slide . looking at each other .	0	
a sand box , medium , 1 8 inch form left , 1 2 inch from bottom , a guy in , angry sitting , facing right inside of it	is sand bump on left or right ?	the guy is medium , a red hat for winter on it , a burger on his left hand , a girl , standing up facing left , angry kicking .	1	
---	size of cat ?	---	1	
there 's a line up a boy happy a girl and a bear	which girl ? standing or sitting ?	girl holding a pi	1	
it 's the same size as the boy 's blue shirt if that helps good ?	yes , that 's the large one . that helps ! thanks !	thanks	0	
big	so he looks way bigger than the girl ? is this everything ?	him and the girl are the same size i can use chance if you want	1	
bear in front of table girl legs stretched out boy left arm up	bear facing left or right ? the table is directly in front of the tree ?	yes table bear to left but still see his face	1	
next to left of bee , her head is level with bee chin , a girl , large , smiling , facing right , running , sunglasses	black or purple , so girl center kind of	black , kinda off center , her feet are cut off at ankles on bottom , behind her is boy running , facing right , smiling , blue hat on	1	
angry girl kneeling in front of pine tree facing her eyes to the left .	sorry i do not have a pine tree here	it 's the tree the kind of points up in the triangle , and has a hole on it .	0	
75 % of the tree	how close is the boy to the tree ? can you line up anything on him with anything on the tree ?	his head is directly between two apples	1	
left	what part of the football is touching the tree ?	it 's like the center part where you would put your fingers to throw it . i do n't know what it is called .	1	
there is a plane in the upper left corner , medium sized the tip of the tail is off the edge	where is the people	there is a cloud on the right the edge on the right is cut off , it should be at the very top .	0	
on right a small swing fully visible . on right corner a big sun hidden a 1 4 . a small be below sun facing right .	ok , again is the boy sitting or standing	boy is standing a foot up . please , flip the swing , and move up the ball . thanks .	1	
yes , on front extended hands , a big grill .	who else is with her ?	on center of grass a big dog faces left , a yellow ball on mouth . behind dog happy boy running faces left .	0	
right , on his right , girl shoulder at skyline facing right , hands out holding pie ,	mad or upset ?	sad , then small table on her right then small apple on the right of table	1	
people are large . and that 's it .	they are large . anything else ? check	nearly perfect food is smaller	0	
her smile is at horizon line yes	how much of the boy is in the green ?	his eyes are just below horizon	1	
he is facing towards the right , his near arm is all you see , the girl is sitting on the grass . there is a dog to the right of the girl	which way are they facing ? what size is the dog ?	medium sized dog facing towards the left , his tail is cut off . the girl is facing the boy , he is facing the right	1	
yes . 1 2 inch from bottom almost at right edge sitting girl one arm behind her faces left sad face . campfire 1 4 inch in front of her .	the fire should be at tent door ? what size is girl ?	yes , large . 1 1 2 inch from left edge , 1 4 inch from bottom large running boy faces left angry in blue cap and holding baseball glove	1	
on the far right a small boy with a blue cap and a baseball bat	angry , happy , surprised ? where does he hit . is girl small too ?	open mouth , hands out holding the bat . behind him is a very small tent , half outside the scene	1	
the knot on the tree is facing left . to the left of tree is bear with his arms up	ok , is bear small medium or large and which way is bear facing	facing left , medium i think . then just to left of him is the boy with his hands out and mouth open facing left	1	
there is a helicopter in the top left corner	dude legs out too ? no tree ? no hats ? helicopter facing left or right ? ? ? ? ? ? ? ? ? ? ?	a soccer ball and a racket in front of the kids	1	
pul the tree down . flip the boy around .	there	pull the sun up into the corner it 's like cut off partially .	0	
i do not know . i do not have the selection screen you do , just the images . it is a kid in a blue shirt , with hands held above head a	i meant in relation to the image you see . left side or right side ?	oo . in the middle . there are four other objects too	1	
big tree on the right side with top of it cut off	which one	round tree with red dots	1	
	does the boy have his arms up or out ?		1	
top of trunk is at horizon and boy is closer to edge	the edge of sandbox ?	yes	1	
a plan in middle small	is plane going left or right .	going right a sun on right med size no people	1	
i think that is it .	you can check and let me know if i need to fix anything	not that i see .	0	
down the bee , place the ow on bee 's head , move the snake down and little left , that 's it	the ow , what 's that ?	sorry , that is owl , that 's it ,	0	
mouth is at horizon . her feet are slightly below the bears feet	ok tip of bears hat pointing left or right ?	pointing right . gon na check . i think you got it	1	
sitting . and happy	cross legged or no ?		1	
in the middle a table with a big multi coloured ball in front of it . table is small	ball left side or right side	on the left 1 cm from edge a smiling boy stretches hand in front . ball almost in middle of table , a little to the right	1	
helicopter , small goes at the top right scene fully visible .	everything is on the right ?	the swing takes up most of the grass area so no .	1	
it 's a rocket . move the tree back a little and your done	does it have smoke coming out ?	flames	1	
there is also a surprised boy waving at the bbq while wearing a chefs hat	ok that 's it	thank you	0	
---	hello , i 'm ready	---	0	
the girl is one inch from the right side of the screen , smiling with her arms out facing left , wearing sunglasses .	what size is the girl then next	same as the boy , behind the girl is a small bushy tree , the girl is to the left of the trunk ,	1	
so smaller tree is 1 4 off top and 1 4 offside . that is it .	yes and i adjusted the pane with it	thanks !	0	
can i check then ?	yes ; '	no sky is visible , you have to make trees big so they can hide the sly	0	
more distance between the girl and the grill and the boy ; mustard is to the right of soda can mustard nearest the grill	is the grill in the center of the pic ?	yes . other than that , it 's perfect !	1	
table in the middle with owl and ketchup on it	ketchup or owl on left ?	bear facing to the left girl on the left of owl like running sad med boy on the right of owl holding hot dog left leg up shocked	1	
helicopter in top left corner . cloud top right . apple tree in middle	what size helicopter and tree	small helicopter	1	
also a big round tree with apples is to the middle but off to the right a bit . some of the top of right part are cut off	so top not cut ? 7	there is an owl in the lower left of the tree , looking left .	0	
male sitting crossed leg , female legs out facing male , back to apple tree	standing sitting wearing anything ?	male sitting cross legs , blue hat blue shorts shoes	1	
knee .	girl and tree touches each other ?	no .	1	
on the left is a boy sitting legs crossed , smiling , facing right . his legs are in line with the girls feet	teeth ? eyes just below horizon ?	the girl is facing right not left . the boy is about 1 . 5 inches from the left edge and is medium . his head is 1 4 below horizon	1	
small tree not medium , put slide on the right side facing left . not middle , dog big size under slide . slide small size , girl knees bend	and duck is good	duck bottom , little to the left from middle scene . big size , facing right .	0	
	does the image have a boy and a girl a boy or just a girl ?	it has a boy and a girl	0	
she is flying a kite . kite string in her left or right hand , kite is facing left	i added a medium kite to her hand .	the kite is small like jenny .	0	
boy is on the left , duck near his feet . head about height of his shorts	happy boy with hand out ?	yes . also , to the right is a picnic table medium with a dog in front . girl sitting down smiling with hot dog in hand	1	
make the plane bigger and move the sun up . some of the yellow cuts off at top as well .	ok any other details	the girl should be in line with the nose of the plane . just the part of her that is on your left .	0	
it 's a sunny day with only one cloud .	i have no sound but i got the rest .	the children are hold food , the boy a burger and the girl a pizza .	0	
mike under it with sad face ears up above grass line , wearing chef hat holding medium pizza	sitting or standing ;	standing facing right	1	
a girl smiling hands up holding balloons in right hand with shades on	is she facing boy , which hand are the balloons in ?		1	
pine tree in middle	middle of the left		1	
no . he should face right . pizza on ground in front of boy , about level with his knee	is this all ?	small cat sitting in grass right fourth of scene , facing left , halfway between top and bottom of grass	0	
jenny is sitting mid line , 1 2 from bottom . arm back legs out . smiling . she 's holding a red cup in her front hand . not sure of the size .	i do n't understand what you mean that jenny is sitting midline	did i get the mustard ? not sure of the size there either . she 's facing left . if you draw a line down the middle of the scene= mid line .	0	
right beside the her left arm is a large table fire on top table near her	fire on top of table ?	yes on top table , lol , on the other end of table cat looking at girl	1	
please , make sure everything is medium size before i check .	even the trees ?	move boy closer to girl , put grill at top of frame with a mustard bottle behind it and balloons behind the tree then submit . great job so far .	1	
okay well i guess i ca n't see what you put then . so that 's all we can do then just try to follow my directions the best you can	let 's finish the hit .	ok thanks	0	
neck at horizon,1 4 of rain cloud seen on the top right , shovel in sand	if put the boy to the right , with his neck level with horizon , it puts his feet in the sand in from of pile	blue hat on dude , almost touching box , so move box further down	0	
surprised and next to her hands it 's a big snake like she is reaching out to it	is she to the far left	yes she is . then 2 fingers away from snake a little to the bottom of grass about a thumb away from bottom of grass big firewood	1	
yes	k that it	perfect	0	
girl on right corner running	is she facing right or left	left	1	
duck facing left . there is a cloud by tree . girl 's mouth open .	size of sun ? small or large	i peeked at your canvas . girl and boy need to be on opposite sides . sun is larger and up in corner .	1	
in the sky is a med sun it is inch form the side and is touching top of screen	left or right sid efor sun ?	it would be to your right hand	1	
average size	is the sand hill on the left or right of the sandbox ?	right	1	
playing with an orange frisbee and sitting on a tree	okay should be good enough . will submit now	okay	0	
that 's it . bye	yes bye		0	
down hot air balloon towards the right side not near edge , girl shocked standing hands in air facing right	any part of her touching the horizon line ?	then left side a finger away from edge boy angry one hand in hip and one in air big size both people , looking left , girl halfway to horizon	1	
behind her left foot is a snake medium sized very near it . her eyes level with horizon	snake facing left or right ?	facing left and now i will check	1	
thanks we 're done	finish hit ?		0	
ready	where is mike ? what is he doing , and which way is he facing ?	of his in the lower left corner standing with a frisbee smiling	1	
---	ok check now	---	0	
small boy right side of screen with black hat on facing your left hand	what is the boy doing ? smiling ? hands up ?	soccer ball inch from foot he has his leg in the air and mouth is open	1	
boy directly to the left of the table , and the girl is directly to the right of it .	ok , what are their emotions and i will put them in there	they are both smiling .	1	
about middle	k got it , anything else ?	at the end of table a girl running with smile on face	0	
	hello , i am ready to start .	so make a horizon line . and in the grass make a sandbox	0	
it s boy a tennis ball in front in middle to left a duck and dog facing right	dog and duck in middle of boy and girl ?	girl on the top of grass and other items no on the side of boy down front	1	
and there is a cat beside her , at her left side	done , if you can tell me the size , large medium or small , next please	in the right side of the picture , there 's a man standing and in front of him is a griller	1	
shocked small girl sits under left side of the tree . she faces right with legs out .	are her legs under the trunk of tree is she very smallest	happy sitting boy facing girl sits under right side of same apple tree . his top foot touches right bottom trunk	1	
when i looked at yours it looked like the tree was on the left side of your picture .	no , it was on the right side , the boy right side the girl left side etc etc	alright . then it should be good .	0	
the girl is on the left with her leg out facing right . she is smiling and has a baseball cap on	is she kicking , or sitting ?	kicking	1	
a small apple tree on the left , full visible , 7 apples above grass line .	can you describe the apple tree in proximity to the pine tree ?	on front right of tree , next to trunk stands a running girl , happy , she faces left .	1	
snake on right of tree facing right . tail touches left hand of mike .	small snake ?	right side , surprised jenny hands front faces left . head under horizon . done	1	
middle scene big fireplace . middle grass	trunk is where like close to bottom or skyline	middle grass trunk . left side very small picnic table .	1	
put viking cap on boy was the hot dog there ?	dog was there	think everything else is good	0	
the girl in the pink outfit and the boy ? in the blue shirt are facing to the right	are they smiling sad arms up , etc .	they are standing ; the girl has both her arms up and the boy has bent arms	1	
the kids are the size where they are almost as tall as the grass , boy has arms in the air and girl has hers reaching at waist .	where are they located and what are their face expressions ?	both are looking left . she is 2 . 5 from the left , with her waist at horizon , and has smile but no teeth . beene too .	1	
yes	is the witches hat bottom touching the red or yellow part ?	yellow	1	
right side of screen in sky is a large sun	is sun cut ?	no has a little room on top and on right	1	
i have no options , am the teller here apparently	okay , i have no options either , so i assumed we 'd choose ourselves .	heheheh ok so there is a cloud in the middle of the sky , only half of it is showing and it is raining	0	
---	boy sitting or standing	---	1	
there is a soda on the grass just to the right of the tree .	ok is it even with trunk ?	6 and then a 1 2 barely showing at the top right and then there is a boy standing to the right of the tree facing left with left hand in air	1	
	alright what does the drawing look like ?	left top big rocket facing right and below it bear big size his armpits align with horizon	0	
make the boy one size smaller .	is his head in front of the leafy part of the tree anywhere ?	slightly towards the left of it 's center after that it should be complete .	1	
---	okay what 's next ?	---	0	
the boy is on the left , and he is holding the balloons in his left hand	i got that	the girl is waving	0	
i am not sure if you got the kids correct , the boy is happy without teeth and has both arms by his waist stretched out ,	okay changed that	girl is kicking and surprised .	0	
	hi what 's the scene ?	a cloud with thunder is seen on the top right and cut on the edges	0	
to the right of her is the boy hands in the air surprised look on his face he is just a little lower than her	are his legs cut off ?	now you can see his whole body his feet are about 1 4 '' above the bottom frame	1	
standing , holding a bat	man face smiling or sad	shocked	1	
to left of tree boy , smiling , arms out , lrg , hold hot dog , right side high , eyes even w horizon , head on tree	which side is he facing ?	facing left on right part of hair on tree , 1 inch away from hot dog angry girl facing right arms out eyebrows even with horizon	1	
cloud upper left , sun upper right ,	ok are they small or med size ?	from left to right , dude hand up happy , then dog upper middle , then soccer under right dog , then girl kicking soccer , under her cat	1	
a girl to the right of the boy . she is facing right and kicking underneath an apple tree	is any part of her touching the apple tree ?	her head is . the right side of the apple tree is cut off	1	
hmmm , ok so i will just explain what i see and we compare since i ca n't peek ?	that is very weird	rain cloud top right , tiny , under him boy running left with food and glasses , large tree with girl jumping	0	
only two thirds is showing . there is a tree in the far left	is the tree low or high on the screen ?	the bottom of the trunk is in the middle of the green	1	
there is a big bear in front of the bushy tree . facing left . his paw is in front of the tree and his nose lines up with the horizon .	oak tree mean	the bushy tree you can see the top and the bottom is two inches below the horizon . the very top of the pine tree is cut off .	0	
ok	ok going to finish hit	k	0	
yes facing right below sun is large boy facing right sitting legs out stretched back hand is touching edge	happy or surprised ?	happy and he is one inch off the bottom	1	
left side 1 2 in in 1 2 in up , smiling boy facing right standing and waving	ok , now what ?	center sky . lrg cloud top cut off , more to left than center , furthest bubble covering left top points of sun ,	0	
---	okay that 's it ?	---	0	
---	which way is dog facing	---	1	
there is a helicopter directly in the middle of the sky	what size ? what direction ?	it looks large sized , facing the right	1	
large slide on left , ladder slightly out of frame ; 2nd rung down is at horizon . boy at bottom of slide , legs hanging off	shocked face , large ?	boy has surprised face , his butt is about an inch from bottom of slide ; yes shocked face large .	1	
slide is positioned so bottom of slide is in the sandbox at the left middle girl is at top of slide with legs out	would the slide be medium ?	girls back hand touches tree leaves girl sandbox and slide are all medium size	1	
---	sitting ?	---	1	
that is it ?	i think so , did you check it ?	you did awesome . but the sun should be medium and in the top left corner . sorry	0	
ok move ketchup to right of table , flip tree , baseball center of grass sorry , bring boy and dog down , dude has rainbow	boy below horizon ?	just propeller is above	1	
then in the front left part is a boy standing in front of the sandbox wearing a hat and holding the frisbee he is not above the horizon	all my standing boys have arms up , what is his face ?	yes arms up frisbee in right hand he has darker skin big eyes short hair	1	
a boy looking to the right side while wearing purple sunglasses .	happy sad surprised walking waving running	medium girl on the right looking towards the boy on the left of her . boy is standing sad .	1	
---	okay ready to check	---	0	
behind the boy is a medium tent the bottom of the tent is in line with the middle of the boys shorts	entrance of tent left or right ?	facing left . the right corner is slightly off screen .	1	
---	is that it	---	0	
	can you describe the picture	med pine tree on right half off rain cloud med in middle over large tent facing left	0	
ok	is the girl on the left	small helicopter upper left corner	1	
a little to the right of that is a boy standing angry one hand out holding a baseball . the toy is a yellow bee with a spring on bottom .	ok got it and then ?	right between the boy and girl there 's a football about breast level between them . that 's all then ill check	0	
under swing bottom of the bottom one dog looking right side	lrg ? med ? small ?	large ,	1	
his neck is above horizon girl 's left hand covers the boy 's mouth	great got it	to the right side air balloon large size brown part is below the horizon right organ part is little off screen	0	
hello middle of picture is a slide with mad girl sliding down on it . she is facing right	slide girl in relation to horizon ? is she on top , middle or bottom of slide ?	the bottom of the slide is about 2 inches from horizon . girl is somewhat at the top of it . her hands line up with the horizon .	1	
did you get the frisbee in the middle kids hand ?	on his right hand . which means my left , correct ?	yes that 's everything	1	
both children are in this scene , they are standing and facing one another . the boy is on the left	where are their arms and are they smiling ?	their arms are in outstretched positions , there is a tree between them	1	
the sun is in the top right corner and part of its spokes are cut off by the corner both top and right	are the girls legs out to the side ? or is she standing ?	she seems to be running towards the boy	1	
girl hands up surprised on the left and dude on the right waving , open mouth , flying right medium i guess , cat right	where are the boy , girl and cat looking ?	i told you , girl on left , and dude on right , cat is on the left of table but looking right	1	
there is a tree in the center left .	what kind of tree ? apple tree ? pine tree ? tree with hole in it ?	tree with a hole near the bottom	1	
there is a medium plane in the center of the scene	plane facing at ?	the helicopter is facing right . sorry , i meant helicopter	1	
plane is facing right good job !	thank you , i 'm submitting	yes	0	
---	anything else ?	---	0	
the girl is sad sorry	now wait and i`ll build again . next time please just answer the question and stop typing	big rain cloud up right conder top cut off	0	
the boy is to the right facing right side you can see the whole tree it cover all the blue part and most of the green too big tree	and it is the boy with the open round mouth ? both arms out ? is it the medium size one or the small one ?	medium size we have two more things to draw when you finish	1	
small kite on right facing left , string is in mike 's hand , tail curved under sun	ok . when you gave position of sun , was 1 2 and 1 4 in inches , or as fraction of canvas ? if inches , ca n't get kite tail to curve under sun .	they are both near the most right pole of swing , mike 's head is close to the red right of swing	1	
---	hi what am i drawing ?	---	0	
its very close move the ball down so it is more towards the bottom of the picture . it should be about half an inch from the bottom .	oh i thought you meant bottom of slide . done	sorry and make the sun a size bigger and it 's perfect ! thanks so much !	0	
	is the owl in any part of the blue sky area ?		1	
---	i did that	---	0	
	do the ears of the dog touch the top of the table		1	
there is also a picnic table behind them with a hamburger on it , and a grill to the right of the table . the boy is wearing a chef hat .	i think i have it , want to check ?	it is close .	0	
make the kids and the soccer ball large , and bring the slide closer so it 's touching the swing set .	this looks ridiculous , are you sure the kids should be large and not medium ?	yes , it looks large to me .	1	
yw	i moved the girl		0	
small mad girl in the air facing left , chest up behind rochet .	is she running etc	small pine on right side , tip is cut on top and 1 3 on right frame .	1	
---	teeth or no teeth ?	---	1	
---	done , check and tell me sizes please	---	0	
the girl right hand is touching the green at the bottom of the tree . two people running from a bear is the scene	you said the girl is behind the boy . now she is touching the tree ?	please put the tree in the middle people on your right side animals on your left side	1	
boy looking right . girl has her hands out to receive pie , and is smiling . off her left pigtail is large bee facing right , eye on right edge .	i think i got it . done	table faces other way , dog legs all the way to bottom , and bee all the way to edge , and done	0	
the girl wears colorful hat .	done . check after i do n't think i did good	boy is on the left and girl behind boy , bod kids are centered .	0	
next to her in the middle of the page is a boy	what is he doing and what is his facial expression ?	he is jumping up with his arms in the air with a great big smile	1	
yable just touches horizon line . big hot dog on right end of table	is lower end of hot dog on left ?	no , right . large girl chest is in center of table . kicking , smiling pointing right	1	
boy on ground on left with chef hat on girl on right	what is boy doing and what is girl doing	boy smiling holding mustard girl is shocked with arm in the air	1	
drawer getting off message	anything else to change ?		0	
yes , next to the tree to the right of the tree	ok anything else , made the changes	that 's it	0	
big apple tree 1 inch from bottom 1 4 top hidden , 1 4 left hidden 0 inch from left .	how many apples visible	a girl , smiling , kicking , with sunglasses 1 2 inch from bottom right hand is touching trunk	1	
bring dude down a lot , and move him right a little , bring bbq left a little to the dude	okay i fixed		0	
large tent center screen , top 1 4 is above horizon , facing right	is the boy over it ?	no it 's in the center of the screen , to the right of the boy	1	
the girl with the pink outfit on is standing just right of mid page with her arms stretched towards the tree	the owl has glasses or a boy has glasses ?		1	
in her lower hand she 's holding a kite , the kite 's tail is to the right	ok , size ?	big	1	
---	awesome , thank you	---	0	
yes and there is a sun in the corner along with a large blue sky	sun left or right side ?	right	1	
mike is in the very center of the picture looking angrily to the right with his hand out .	what else also is mike big middle or small	small . jenny is right next to him to the right and she is happily flying a kite in her right hand .	1	
just frisbee missing by girls hand great job	thanks . i`ll submit		0	
no about half inch above it	so some is of top cut off or smaller cloud and which way is lightning going ?	lightning faces right cloud out of screen a little right below light bolt is a a fire almost touching lightning	1	
a boy with his hands on his side . a slide in his background , a beetle , a sandbox with a shovel , a ball i nfront of it . left to right	happy boy or sad ?	happy	1	
owl on third rung from bottom of the tree and inside a little bit	okay facing which way	boy left facing tree hand in air and other on hip his feet level with tree trunk	1	
surprised mike sitting with 1 arm out , facing left . in right corner , hand cut off . jenny to left of fire , same position facing mike	any part of jenny cut off on left ?	medium tent behind jenny , opening cut in half . facing left . then i check . jenny not cut off , a little to right of corner	1	
his , right side is a medium size tree . apple tree . top and right cut from scene	is tree trunk near the horizon ?	almost yes , middle of the grass is a big size table . right corner up	1	
that 's it	thanks , i 'll submit .		0	
on your right a medium pine tree with top cut off and 10 % of side cut off with owl in it .	of owl size ?	large boy sitting in front of tree facing left touching a duck that is facing left .	1	
you think we ready to submit	yup .		0	
small cat , directly above cat is small mustard , above that about an inch is a large flame , everything is an inch apart	ok , does this scene make any sense ?	above fir is a large pie and that 's in air above horizon line	0	
too many corrections owl on top facing left and smaller and dog smaller and top as well	on the very top of the tree it is left	move the rest all down on the left side balloon should be 1 4 only in air like i said before rest on the ground please	0	
and flying above the bear , and the tent is an airplane . now done .	bee and plane facing where	bee facing left , plane facing left	1	
move girl closer to table , hands in front of table , move boy closer to front of table . great job	okay . thank you , good directions as well . :		0	
the upper left is a sun and under it is a smiling girl sitting with a wizards hat on	got i	that is everything . thank you !	0	
---	yes !	---	0	
from left on grass , girl sits legs out angry facing right , then basketball center , then boy sits angry legs out ,	which side is the boy facing ?	cat above girls legs , boy is on the right ,	1	
---	done ! thanks	---	0	
girl running from left of table towards ball on the ground as if she will kick it and boy mean standing in the front of her and ball	girl is happy and kicks or angry and running	not happy running	1	
left , rain then lightening right , under rain girl hands up , mouth on , legs cut off at knees .	is the girl facing right or left and is she all in the green ?	dude next to her , center stage touching bottom , dude cross legs , sad , glasses , blue hat , holding burger and soccer	1	
it has stripes and propeller .	okay got it that ; s it ?	the purple strip is on the left , not sure where you put the pom pom but it is on the right side .	0	
on the left is a bushy tree , hole facing right . small size . cut from left side .	with the hole with the tree , is the trunk all in green or some in blue ?	all green . just under the tree is a boy , sitting yoga style , facing left . blue star hat on . o mouth . right arm cut from scene .	1	
---	let 's go	---	0	
---	small tree ?	---	1	
the balloon is half the size , in the sky . the girl needs to turn the other way . the cloud with lightning in top right	ok it is done		0	
	is anything going off the left side of the image ?	on left a medium sun , only cut the top triangle .	0	
the tail is up under the cloud and the girl is under the cloud , middle of grass with a beanie	expression of girl	she 's smiling sitting and facing left with she is an inch away from an owl	1	
---	let me know if i need to fix anything .	---	0	
there is a boy and a girl . the boy has dark hair and a blue hat with a white star . he is on the left .	mor girl	she is on the right . she looks sad and catching a frisbee . she is also in a viking hat .	0	
the horizon should be right at her lower armpit . they would both move up . the boy 's armpit shows a little blue .	cool , also where does the tree trunk begin	the trunk is about on the horizontal midline of the grass area .	1	
the girl is flying a kite in her right hand , up above her head , and below the tree , on the left on the ground , is a frisbee	wlep	i 'm going to preview it now .	0	
best guess is large	is the dog large too ?	yes	1	
---	yes please	---	0	
middle of the grass left corner one big bear looking right face	k . is his hand cut off too ?	no bear all body visible exact down to bear one snake large size looking right side	1	
	hello i am ready for your questions .	left side top sun left side edge little bet cut	0	
happy boy with one leg kicking right in front of tree , shorts line up with top of trunk . he faces left .	he 's in place .	sun behind tree , medium size . most of right side of sun behind tree and top cut off into sky	0	
large tree on right hand to middle , you can only see 4 . 5 of the triangles , half of the left of screen .	so middle of the scene ?	it ends in the middle of the screen the bottom branch is in the middle but it 's on the left trunk is about 1 . 5 in from left of screen .	1	
she is on right . she has mustard in her other hand with it 's base at her wrist .	ok dudz doing what	sad boy boy with arms up is 1 5 from left . his head is divided by horizon .	0	
yes facing each other , boy happy	all my happy boys are sitting , can you see his teeth ?	boy sitting happy holding pie and you got it	1	
it is	okay top to bottom aside from the balloon , is there anything higher or lower ?	the bear and dog appear higher than the boy and girl	0	
no . on the right side , covering a bit of the cloud is a pine tree , half cut from right side and a bit from top .	is tree lrg ? med ? sml ?	small .	1	
	where are the objects and people placed ?	a boy about an inch from the left smiling hands up with blue hat on	1	
it is either large or medium size all visible	is there boy are a girl	under the cloud is a small sandbox in the grass area one inch below the horizon line . a duck in the sand in front corner	0	
